NUM_FATT,DATA,COD_CLIE,QUANTITA,GRUPPO,PRESTAZION,PREZZO,IVA,ENPAV
25,05/01/2018,6252,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
26,05/01/2018,6253,1,AMBULATORIO,VISITA,24.11,5.41,0.48
26,05/01/2018,6253,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
26,05/01/2018,6253,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
26,05/01/2018,6253,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
27,08/01/2018,6254,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
28,08/01/2018,4468,1,AMBULATORIO,VISITA + TERAPIA,40.18,9.02,0.80
29,08/01/2018,5955,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
30,08/01/2018,5645,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
31,08/01/2018,6205,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
32,08/01/2018,3451,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
32,08/01/2018,3451,1,AMBULATORIO,TRATTAMENTO ANTIPARASSITARIO,29.74,6.67,0.59
33,09/01/2018,98,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
34,09/01/2018,4731,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
35,09/01/2018,6256,1,AMBULATORIO,VISITA,24.11,5.41,0.48
36,10/01/2018,6257,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
37,10/01/2018,2860,1,AMBULATORIO,APPLICAZIONE MICROCHIP,24.11,5.41,0.48
37,10/01/2018,2860,1,AMBULATORIO,SOMMINISTRAZIONE,4.02,0.90,0.08
38,10/01/2018,4744,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
39,10/01/2018,2783,1,AMBULATORIO,VISITA,24.11,5.41,0.48
39,10/01/2018,2783,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
39,10/01/2018,2783,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
40,10/01/2018,822,1,AMBULATORIO,INDAGINE XGRAFICA,40.18,9.02,0.80
41,10/01/2018,4738,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
41,10/01/2018,4738,1,AMBULATORIO,VISITA,24.11,5.41,0.48
42,10/01/2018,5143,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
43,10/01/2018,3249,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
44,10/01/2018,6256,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
45,11/01/2018,2853,1,ANALISI,PRELIEVO + ESAMI DI LABORATORIO,12.06,2.70,0.24
46,11/01/2018,6192,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
47,11/01/2018,2783,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
47,11/01/2018,2783,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
48,11/01/2018,3349,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
49,11/01/2018,6258,1,AMBULATORIO,APPLICAZIONE MICROCHIP,24.11,5.41,0.48
50,11/01/2018,2360,1,ANALISI,ESAME CITOLOGICO,28.13,6.31,0.56
51,12/01/2018,2599,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
51,12/01/2018,2599,2,ANALISI,ESAME DELLE URINE,16.07,3.61,0.32
52,12/01/2018,2335,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
52,12/01/2018,2335,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
52,12/01/2018,2335,1,ANALISI,TOTAL T4 TEST,20.09,4.51,0.40
53,12/01/2018,6259,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
53,12/01/2018,6259,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
53,12/01/2018,6259,1,ANALISI,PROFILO BIOCHIMICO 15,36.17,8.11,0.72
53,12/01/2018,6259,1,AMBULATORIO,VISITA,24.11,5.41,0.48
53,12/01/2018,6259,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
54,12/01/2018,4124,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
55,12/01/2018,6260,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
56,12/01/2018,6261,1,AMBULATORIO,VISITA,24.11,5.41,0.48
57,15/01/2018,5997,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
58,15/01/2018,4842,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
59,15/01/2018,6241,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
60,15/01/2018,6262,1,AMBULATORIO,VISITA,24.11,5.41,0.48
60,15/01/2018,6262,1,AMBULATORIO,TRATTAMENTO ANTIPARASSITARIO,8.04,1.80,0.16
61,15/01/2018,5549,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
62,15/01/2018,5656,2,ANALISI,TEST SNAP 4DX + SNAP LEISH,56.25,12.62,1.13
63,15/01/2018,6208,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
64,15/01/2018,5930,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
64,15/01/2018,5930,1,ANALISI,ESAMI DI LABORATORIO,8.04,1.80,0.16
65,16/01/2018,5497,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
65,16/01/2018,5497,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
66,16/01/2018,5862,2,VACCINAZIONI,VERSICAN DHPPI,48.22,10.82,0.96
67,16/01/2018,6194,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
68,16/01/2018,6242,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
69,16/01/2018,5312,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
70,16/01/2018,6263,1,AMBULATORIO,TERAPIA S.C.,32.15,7.21,0.64
71,16/01/2018,6187,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
72,17/01/2018,6217,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
73,17/01/2018,2948,1,CHIRURGIA,INTERVENTO CHIRURGICO + ANESTESIA,100.45,22.54,2.01
73,17/01/2018,2948,1,AMBULATORIO,TERAPIA,19.28,4.33,0.39
74,17/01/2018,1631,1,AMBULATORIO,VISITA,24.11,5.41,0.48
75,18/01/2018,6149,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
76,18/01/2018,5642,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
77,18/01/2018,6266,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
78,19/01/2018,2675,1,AMBULATORIO,EUTANASIA + SMALTIMENTO CARCASSA,80.36,18.03,1.61
79,19/01/2018,6259,1,ANALISI,ESAMI DI LABORATORIO,20.09,4.51,0.40
79,19/01/2018,6259,1,ANALISI,PROFILO COAGULATIVO,20.09,4.51,0.40
80,19/01/2018,6058,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
80,19/01/2018,6058,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
81,22/01/2018,5510,1,AMBULATORIO,VISITA,32.15,7.21,0.64
81,22/01/2018,5510,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
81,22/01/2018,5510,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
82,22/01/2018,101,1,ANALISI,TAMPONE MICOBATTERIOLOGICO SPEED BIO,32.15,7.21,0.64
83,22/01/2018,6197,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
84,22/01/2018,6227,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
85,22/01/2018,5820,1,AMBULATORIO,VISITA,24.11,5.41,0.48
85,22/01/2018,5820,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
86,23/01/2018,5978,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
87,23/01/2018,4495,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
88,23/01/2018,6024,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
89,23/01/2018,4953,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
90,23/01/2018,3973,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
91,23/01/2018,1471,1,AMBULATORIO,PRESCRIZIONE PER PROSEGUIMENTO TERAPIA,8.04,1.80,0.16
92,23/01/2018,4378,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
92,23/01/2018,4378,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
92,23/01/2018,4378,1,ANALISI,PROFILO COAGULATIVO,20.09,4.51,0.40
93,24/01/2018,4620,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
93,24/01/2018,4620,1,AMBULATORIO,EUTANASIA + SMALTIMENTO CARCASSA,72.32,16.23,1.45
94,24/01/2018,886,1,AMBULATORIO,VISITA,24.11,5.41,0.48
94,24/01/2018,886,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
94,24/01/2018,886,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
95,24/01/2018,6199,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
96,24/01/2018,1631,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
96,24/01/2018,1631,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
96,24/01/2018,1631,1,AMBULATORIO,TERAPIA,25.72,5.77,0.51
97,24/01/2018,6270,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
98,25/01/2018,6271,1,AMBULATORIO,ESAME COPROLOGICO,8.04,1.80,0.16
99,25/01/2018,6262,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
100,25/01/2018,6272,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
101,25/01/2018,5916,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
102,25/01/2018,1471,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
102,25/01/2018,1471,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
103,25/01/2018,1471,1,ANALISI,ESAME ELETTROLITI,8.04,1.80,0.16
103,25/01/2018,1471,1,ANALISI,PROFILO COAGULATIVO,20.09,4.51,0.40
104,25/01/2018,6201,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
105,25/01/2018,5035,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
106,25/01/2018,6161,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
107,25/01/2018,4467,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
108,26/01/2018,4230,1,AMBULATORIO,PRESCRIZIONE PER PROSEGUIMENTO TERAPIA,8.04,1.80,0.16
109,26/01/2018,6244,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
110,26/01/2018,5380,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
111,26/01/2018,400,1,AMBULATORIO,VISITA + TERAPIA,28.13,6.31,0.56
112,26/01/2018,6160,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
113,29/01/2018,6249,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
114,29/01/2018,6267,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
115,29/01/2018,5497,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
115,29/01/2018,5497,1,ANALISI,PROFILO COAGULATIVO,24.11,5.41,0.48
116,29/01/2018,5827,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
117,29/01/2018,6273,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
118,29/01/2018,6274,1,AMBULATORIO,VISITA,24.11,5.41,0.48
119,29/01/2018,3508,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
120,29/01/2018,5941,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
121,29/01/2018,3672,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
122,30/01/2018,5644,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
122,30/01/2018,5644,1,AMBULATORIO,TERAPIA,13.66,3.07,0.27
123,30/01/2018,4881,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
124,30/01/2018,5730,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
125,30/01/2018,5142,1,AMBULATORIO,VISITA DI CONTROLLO,20.09,4.51,0.40
125,30/01/2018,5142,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
126,30/01/2018,6144,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
127,31/01/2018,5155,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
128,31/01/2018,5212,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
128,31/01/2018,5212,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
129,31/01/2018,6210,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
130,31/01/2018,6156,1,AMBULATORIO,VISITA DI CONTROLLO,24.11,5.41,0.48
131,31/01/2018,1401,1,CHIRURGIA,INTERVENTO CHIRURGICO + ANESTESIA,100.45,22.54,2.01
132,31/01/2018,6275,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
132,31/01/2018,6275,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
132,31/01/2018,6275,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
132,31/01/2018,6275,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
132,31/01/2018,6275,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
132,31/01/2018,6275,1,AMBULATORIO,SOMMINISTRAZIONE,18.88,4.24,0.38
133,31/01/2018,5362,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
134,31/01/2018,1414,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
135,31/01/2018,6276,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
136,01/02/2018,1856,1,AMBULATORIO,VISITA,24.11,5.41,0.48
136,01/02/2018,1856,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
136,01/02/2018,1856,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
136,01/02/2018,1856,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
137,01/02/2018,4159,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
138,01/02/2018,3282,1,AMBULATORIO,TERAPIA,25.72,5.77,0.51
139,01/02/2018,1321,1,ANALISI,PROTEINA C REATTIVA,28.13,6.31,0.56
139,01/02/2018,1321,1,AMBULATORIO,TERAPIA,12.85,2.89,0.26
140,01/02/2018,4506,1,AMBULATORIO,VISITA,24.11,5.41,0.48
140,01/02/2018,4506,1,AMBULATORIO,TERAPIA,12.06,2.70,0.24
140,01/02/2018,4506,1,AMBULATORIO,INDAGINE XGRAFICA,40.18,9.02,0.80
141,02/02/2018,6194,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
142,02/02/2018,6277,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
143,05/02/2018,6279,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
144,05/02/2018,4298,1,AMBULATORIO,VISITA,24.11,5.41,0.48
144,05/02/2018,4298,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
145,05/02/2018,1967,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
145,05/02/2018,1967,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
145,05/02/2018,1967,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
145,05/02/2018,1967,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
146,05/02/2018,4506,1,AMBULATORIO,TERAPIA,17.68,3.97,0.35
147,05/02/2018,2597,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
148,05/02/2018,6223,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
149,05/02/2018,3409,1,AMBULATORIO,VISITA,24.11,5.41,0.48
149,05/02/2018,3409,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
149,05/02/2018,3409,1,AMBULATORIO,TERAPIA,18.48,4.15,0.37
150,05/02/2018,3418,1,AMBULATORIO,PRESCRIZIONE PER PROSEGUIMENTO TERAPIA,8.04,1.80,0.16
151,06/02/2018,6280,2,AMBULATORIO,APPLICAZIONE MICROCHIP,40.18,9.02,0.80
152,06/02/2018,3956,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
153,06/02/2018,3451,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
154,06/02/2018,6013,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
155,06/02/2018,2597,1,AMBULATORIO,VISITA,24.11,5.41,0.48
155,06/02/2018,2597,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
155,06/02/2018,2597,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
156,07/02/2018,2853,1,ANALISI,PRELIEVO + ESAMI DI LABORATORIO,9.65,2.16,0.19
156,07/02/2018,2853,1,AMBULATORIO,TERAPIA,14.46,3.25,0.29
157,07/02/2018,6175,1,AMBULATORIO,VISITA DI CONTROLLO,20.09,4.51,0.40
157,07/02/2018,6175,1,AMBULATORIO,TRATTAMENTO ANTIPARASSITARIO,6.43,1.44,0.13
158,07/02/2018,6262,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
159,07/02/2018,6257,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
160,07/02/2018,5703,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
161,08/02/2018,5143,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
162,08/02/2018,5862,1,AMBULATORIO,CERTIFICAZIONE BUONA SALUTE,16.07,3.61,0.32
163,09/02/2018,6278,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
163,09/02/2018,6278,1,ANALISI,PROFILO COAGULATIVO,20.09,4.51,0.40
164,09/02/2018,4500,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
164,09/02/2018,4500,1,ANALISI,TEST DERMATOLOGICO PER DERMATOFITI,12.06,2.70,0.24
165,09/02/2018,4003,1,AMBULATORIO,VISITA,24.11,5.41,0.48
165,09/02/2018,4003,1,AMBULATORIO,TERAPIA,11.25,2.52,0.23
165,09/02/2018,4003,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
166,09/02/2018,4581,1,AMBULATORIO,ESAME COPROLOGICO,8.04,1.80,0.16
167,09/02/2018,4298,1,AMBULATORIO,EUTANASIA + SMALTIMENTO CARCASSA,72.32,16.23,1.45
168,09/02/2018,6281,1,AMBULATORIO,VISITA,24.11,5.41,0.48
169,09/02/2018,6282,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
170,12/02/2018,4506,1,AMBULATORIO,TERAPIA,17.68,3.97,0.35
171,12/02/2018,6254,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
172,12/02/2018,5862,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
173,12/02/2018,4842,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
174,12/02/2018,6285,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
174,12/02/2018,6285,1,ANALISI,TEST DERMATOLOGICO PER DERMATOFITI,12.06,2.70,0.24
174,12/02/2018,6285,1,AMBULATORIO,TERAPIA,16.07,3.61,0.32
175,12/02/2018,6227,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
176,12/02/2018,6208,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
177,12/02/2018,3182,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
178,13/02/2018,6286,2,ANALISI,ESAME DELLE URINE,16.07,3.61,0.32
178,13/02/2018,6286,2,AMBULATORIO,ESAME COPROLOGICO,16.07,3.61,0.32
179,13/02/2018,5309,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
180,13/02/2018,6278,1,AMBULATORIO,INDAGINE XGRAFICA,40.18,9.02,0.80
181,13/02/2018,6194,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
181,13/02/2018,6194,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
182,13/02/2018,5857,1,AMBULATORIO,EUTANASIA + SMALTIMENTO CARCASSA,72.32,16.23,1.45
183,14/02/2018,6288,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
184,14/02/2018,5953,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
185,14/02/2018,5675,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
186,14/02/2018,1236,1,AMBULATORIO,VISITA DI CONTROLLO,20.09,4.51,0.40
186,14/02/2018,1236,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
186,14/02/2018,1236,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
187,14/02/2018,6281,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
188,14/02/2018,6289,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
188,14/02/2018,6289,1,AMBULATORIO,VISITA,24.11,5.41,0.48
189,14/02/2018,4506,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
189,14/02/2018,4506,1,AMBULATORIO,INDAGINE XGRAFICA,32.15,7.21,0.64
189,14/02/2018,4506,1,ANALISI,ESAMI DI LABORATORIO,48.22,10.82,0.96
190,15/02/2018,6275,1,ANALISI,FENOBARBITALEMIA,32.15,7.21,0.64
191,15/02/2018,5967,1,AMBULATORIO,VISITA,24.11,5.41,0.48
191,15/02/2018,5967,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
191,15/02/2018,5967,1,AMBULATORIO,TERAPIA,9.65,2.16,0.19
192,15/02/2018,6291,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
193,15/02/2018,6167,1,AMBULATORIO,VISITA,24.11,5.41,0.48
193,15/02/2018,6167,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
193,15/02/2018,6167,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
194,16/02/2018,6029,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
195,16/02/2018,6292,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
196,16/02/2018,5762,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
196,16/02/2018,5762,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
